invoice_no,customer_id,description,quantity,unit_price,total_amount,invoice_date,country
INV-1126,CUST-0053,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-05-11 17:00:00,United Kingdom
INV-1127,CUST-0051,Smart LED Desk Lamp,3,29.95,89.85,2025-08-23 20:00:00,Germany
INV-1128,CUST-0014,Vertical Ergonomic Mouse,1,45.0,45.0,2025-01-24 18:00:00,United States
INV-1128,CUST-0014,USB-C Multiport Hub,4,39.99,159.96,2025-01-24 18:00:00,United States
INV-1128,CUST-0014,Smart LED Desk Lamp,5,29.95,149.75,2025-01-24 18:00:00,United States
INV-1129,CUST-0065,Smart LED Desk Lamp,1,29.95,29.95,2025-09-13 08:00:00,Germany
INV-1129,CUST-0065,Vertical Ergonomic Mouse,4,45.0,180.0,2025-09-13 08:00:00,Germany
INV-1129,CUST-0065,Vertical Ergonomic Mouse,4,45.0,180.0,2025-09-13 08:00:00,Germany
INV-1130,CUST-0066,Smart LED Desk Lamp,2,29.95,59.9,2025-12-21 17:00:00,Germany
INV-1131,CUST-0014,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-12-03 17:00:00,United States
INV-1131,CUST-0014,USB-C Multiport Hub,4,39.99,159.96,2025-12-03 17:00:00,United States
INV-1131,CUST-0014,Vertical Ergonomic Mouse,2,45.0,90.0,2025-12-03 17:00:00,United States
INV-1132,CUST-0036,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-06-25 12:00:00,United States
INV-1132,CUST-0036,USB-C Multiport Hub,5,39.99,199.95,2025-06-25 12:00:00,United States
INV-1133,CUST-0066,Smart LED Desk Lamp,5,29.95,149.75,2025-12-26 16:00:00,France
INV-1133,CUST-0066,Smart LED Desk Lamp,2,29.95,59.9,2025-12-26 16:00:00,France
INV-1134,CUST-0026,Smart LED Desk Lamp,3,29.95,89.85,2025-11-16 19:00:00,Germany
INV-1134,CUST-0026,Smart LED Desk Lamp,2,29.95,59.9,2025-11-16 19:00:00,Germany
INV-1135,CUST-0023,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-10-05 19:00:00,Japan
INV-1135,CUST-0023,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-10-05 19:00:00,Japan
INV-1135,CUST-0023,USB-C Multiport Hub,5,39.99,199.95,2025-10-05 19:00:00,Japan
INV-1136,CUST-0074,Vertical Ergonomic Mouse,3,45.0,135.0,2025-08-02 18:00:00,Australia
INV-1136,CUST-0074,USB-C Multiport Hub,1,39.99,39.99,2025-08-02 18:00:00,Australia
INV-1136,CUST-0074,Vertical Ergonomic Mouse,1,45.0,45.0,2025-08-02 18:00:00,Australia
INV-1137,CUST-0004,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-03-16 08:00:00,United States
INV-1137,CUST-0004,Ultra HD 27-inch Monitor,2,299.0,598.0,2025-03-16 08:00:00,United States
INV-1137,CUST-0004,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-03-16 08:00:00,United States
INV-1138,CUST-0019,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-12-20 20:00:00,United Kingdom
INV-1138,CUST-0019,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-12-20 20:00:00,United Kingdom
INV-1139,CUST-0058,Vertical Ergonomic Mouse,2,45.0,90.0,2025-11-12 18:00:00,United Kingdom
INV-1139,CUST-0058,Smart LED Desk Lamp,5,29.95,149.75,2025-11-12 18:00:00,United Kingdom
INV-1139,CUST-0058,USB-C Multiport Hub,2,39.99,79.98,2025-11-12 18:00:00,United Kingdom
INV-1140,CUST-0066,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-05-28 19:00:00,Australia
INV-1140,CUST-0066,USB-C Multiport Hub,4,39.99,159.96,2025-05-28 19:00:00,Australia
INV-1140,CUST-0066,Smart LED Desk Lamp,3,29.95,89.85,2025-05-28 19:00:00,Australia
INV-1141,CUST-0071,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-01-07 19:00:00,United Kingdom
INV-1141,CUST-0071,USB-C Multiport Hub,2,39.99,79.98,2025-01-07 19:00:00,United Kingdom
INV-1142,CUST-0048,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-10-07 19:00:00,Japan
INV-1142,CUST-0048,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-10-07 19:00:00,Japan
INV-1142,CUST-0048,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-10-07 19:00:00,Japan
INV-1143,CUST-0024,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-09-21 09:00:00,Germany
INV-1143,CUST-0024,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-09-21 09:00:00,Germany
INV-1144,CUST-0034,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-03-24 17:00:00,Germany
INV-1144,CUST-0034,USB-C Multiport Hub,2,39.99,79.98,2025-03-24 17:00:00,Germany
INV-1145,CUST-0006,Smart LED Desk Lamp,5,29.95,149.75,2025-06-15 17:00:00,Germany
INV-1146,CUST-0039,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-10-21 16:00:00,United States
INV-1146,CUST-0039,Vertical Ergonomic Mouse,2,45.0,90.0,2025-10-21 16:00:00,United States
INV-1147,CUST-0024,Ergonomic Mechanical Keyboard,4,89.5,358.0,2025-02-04 20:00:00,Japan
INV-1147,CUST-0024,Vertical Ergonomic Mouse,5,45.0,225.0,2025-02-04 20:00:00,Japan
INV-1147,CUST-0024,USB-C Multiport Hub,1,39.99,39.99,2025-02-04 20:00:00,Japan
INV-1148,CUST-0045,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-04-20 18:00:00,Germany
INV-1148,CUST-0045,Ultra HD 27-inch Monitor,2,299.0,598.0,2025-04-20 18:00:00,Germany
INV-1149,CUST-0080,Wireless Noise-Cancelling Headphones,1,149.99,149.99,2025-09-01 16:00:00,Japan
INV-1149,CUST-0080,Smart LED Desk Lamp,3,29.95,89.85,2025-09-01 16:00:00,Japan
INV-1149,CUST-0080,USB-C Multiport Hub,2,39.99,79.98,2025-09-01 16:00:00,Japan
INV-1150,CUST-0079,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-05-05 08:00:00,Japan
INV-1150,CUST-0079,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-05-05 08:00:00,Japan
INV-1150,CUST-0079,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-05-05 08:00:00,Japan
INV-1151,CUST-0037,Vertical Ergonomic Mouse,5,45.0,225.0,2025-09-22 20:00:00,United Kingdom
INV-1151,CUST-0037,USB-C Multiport Hub,4,39.99,159.96,2025-09-22 20:00:00,United Kingdom
INV-1152,CUST-0006,Vertical Ergonomic Mouse,1,45.0,45.0,2025-11-30 11:00:00,France
INV-1152,CUST-0006,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-11-30 11:00:00,France
INV-1153,CUST-0069,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-01-04 18:00:00,Japan
INV-1154,CUST-0055,Smart LED Desk Lamp,4,29.95,119.8,2025-04-16 16:00:00,United Kingdom
INV-1154,CUST-0055,Smart LED Desk Lamp,1,29.95,29.95,2025-04-16 16:00:00,United Kingdom
INV-1154,CUST-0055,Smart LED Desk Lamp,2,29.95,59.9,2025-04-16 16:00:00,United Kingdom
INV-1155,CUST-0004,Wireless Noise-Cancelling Headphones,1,149.99,149.99,2025-06-19 08:00:00,United States
INV-1156,CUST-0023,Ergonomic Mechanical Keyboard,3,89.5,268.5,2025-10-13 09:00:00,France
INV-1156,CUST-0023,USB-C Multiport Hub,4,39.99,159.96,2025-10-13 09:00:00,France
INV-1156,CUST-0023,USB-C Multiport Hub,4,39.99,159.96,2025-10-13 09:00:00,France
INV-1157,CUST-0056,Wireless Noise-Cancelling Headphones,5,149.99,749.95,2025-01-09 14:00:00,France
INV-1157,CUST-0056,Wireless Noise-Cancelling Headphones,5,149.99,749.95,2025-01-09 14:00:00,France
INV-1157,CUST-0056,Wireless Noise-Cancelling Headphones,5,149.99,749.95,2025-01-09 14:00:00,France
INV-1158,CUST-0006,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-02-07 13:00:00,Australia
INV-1158,CUST-0006,Smart LED Desk Lamp,3,29.95,89.85,2025-02-07 13:00:00,Australia
INV-1158,CUST-0006,Vertical Ergonomic Mouse,1,45.0,45.0,2025-02-07 13:00:00,Australia
INV-1159,CUST-0037,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-07-15 14:00:00,United States
INV-1159,CUST-0037,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-07-15 14:00:00,United States
INV-1159,CUST-0037,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-07-15 14:00:00,United States
INV-1160,CUST-0051,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-06-01 18:00:00,Japan
INV-1161,CUST-0002,Wireless Noise-Cancelling Headphones,1,149.99,149.99,2025-10-12 10:00:00,Japan
INV-1162,CUST-0074,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-07-21 16:00:00,Japan
INV-1162,CUST-0074,Ergonomic Mechanical Keyboard,3,89.5,268.5,2025-07-21 16:00:00,Japan
INV-1162,CUST-0074,Ergonomic Mechanical Keyboard,4,89.5,358.0,2025-07-21 16:00:00,Japan
INV-1163,CUST-0066,Vertical Ergonomic Mouse,3,45.0,135.0,2025-03-24 10:00:00,Germany
INV-1164,CUST-0025,Wireless Noise-Cancelling Headphones,5,149.99,749.95,2025-04-03 18:00:00,United Kingdom
INV-1164,CUST-0025,USB-C Multiport Hub,5,39.99,199.95,2025-04-03 18:00:00,United Kingdom
INV-1164,CUST-0025,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-04-03 18:00:00,United Kingdom
INV-1165,CUST-0009,Vertical Ergonomic Mouse,4,45.0,180.0,2025-02-20 11:00:00,France
INV-1165,CUST-0009,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-02-20 11:00:00,France
INV-1165,CUST-0009,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-02-20 11:00:00,France
INV-1166,CUST-0013,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-11-14 09:00:00,France
INV-1167,CUST-0058,Smart LED Desk Lamp,5,29.95,149.75,2025-11-12 18:00:00,France
INV-1167,CUST-0058,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-11-12 18:00:00,France
INV-1168,CUST-0073,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-06-11 14:00:00,France
INV-1169,CUST-0032,Ultra HD 27-inch Monitor,2,299.0,598.0,2025-11-25 14:00:00,Germany
INV-1169,CUST-0032,Smart LED Desk Lamp,3,29.95,89.85,2025-11-25 14:00:00,Germany
INV-1170,CUST-0062,USB-C Multiport Hub,5,39.99,199.95,2025-08-17 13:00:00,United States
INV-1170,CUST-0062,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-08-17 13:00:00,United States
INV-1171,CUST-0078,Ergonomic Mechanical Keyboard,3,89.5,268.5,2025-05-24 10:00:00,United Kingdom
INV-1171,CUST-0078,Smart LED Desk Lamp,1,29.95,29.95,2025-05-24 10:00:00,United Kingdom
INV-1171,CUST-0078,Smart LED Desk Lamp,1,29.95,29.95,2025-05-24 10:00:00,United Kingdom
INV-1172,CUST-0003,Vertical Ergonomic Mouse,4,45.0,180.0,2025-11-20 08:00:00,Japan
INV-1172,CUST-0003,Vertical Ergonomic Mouse,2,45.0,90.0,2025-11-20 08:00:00,Japan
INV-1172,CUST-0003,Wireless Noise-Cancelling Headphones,5,149.99,749.95,2025-11-20 08:00:00,Japan
INV-1173,CUST-0034,Ergonomic Mechanical Keyboard,3,89.5,268.5,2025-10-04 15:00:00,Japan
INV-1173,CUST-0034,USB-C Multiport Hub,2,39.99,79.98,2025-10-04 15:00:00,Japan
INV-1173,CUST-0034,Vertical Ergonomic Mouse,3,45.0,135.0,2025-10-04 15:00:00,Japan
INV-1174,CUST-0018,USB-C Multiport Hub,3,39.99,119.97,2025-09-14 16:00:00,United States
INV-1175,CUST-0065,Smart LED Desk Lamp,2,29.95,59.9,2025-12-06 11:00:00,United Kingdom
INV-1175,CUST-0065,Vertical Ergonomic Mouse,2,45.0,90.0,2025-12-06 11:00:00,United Kingdom
INV-1175,CUST-0065,USB-C Multiport Hub,2,39.99,79.98,2025-12-06 11:00:00,United Kingdom
INV-1176,CUST-0023,Smart LED Desk Lamp,4,29.95,119.8,2025-10-17 18:00:00,Japan
INV-1177,CUST-0046,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-04-23 20:00:00,United Kingdom
INV-1177,CUST-0046,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-04-23 20:00:00,United Kingdom
INV-1178,CUST-0030,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-12-09 11:00:00,United Kingdom
INV-1178,CUST-0030,USB-C Multiport Hub,4,39.99,159.96,2025-12-09 11:00:00,United Kingdom
INV-1178,CUST-0030,Wireless Noise-Cancelling Headphones,1,149.99,149.99,2025-12-09 11:00:00,United Kingdom
INV-1179,CUST-0042,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-12-27 16:00:00,United Kingdom
INV-1179,CUST-0042,Vertical Ergonomic Mouse,5,45.0,225.0,2025-12-27 16:00:00,United Kingdom
INV-1179,CUST-0042,Vertical Ergonomic Mouse,2,45.0,90.0,2025-12-27 16:00:00,United Kingdom
INV-1180,CUST-0049,Smart LED Desk Lamp,1,29.95,29.95,2025-07-13 13:00:00,Australia
INV-1180,CUST-0049,Vertical Ergonomic Mouse,3,45.0,135.0,2025-07-13 13:00:00,Australia
INV-1180,CUST-0049,USB-C Multiport Hub,2,39.99,79.98,2025-07-13 13:00:00,Australia
INV-1181,CUST-0067,USB-C Multiport Hub,5,39.99,199.95,2025-06-30 13:00:00,United States
INV-1181,CUST-0067,Wireless Noise-Cancelling Headphones,5,149.99,749.95,2025-06-30 13:00:00,United States
INV-1182,CUST-0018,Vertical Ergonomic Mouse,3,45.0,135.0,2025-03-26 11:00:00,United States
INV-1183,CUST-0028,Vertical Ergonomic Mouse,1,45.0,45.0,2025-04-06 10:00:00,Germany
INV-1183,CUST-0028,Smart LED Desk Lamp,2,29.95,59.9,2025-04-06 10:00:00,Germany
INV-1184,CUST-0054,USB-C Multiport Hub,4,39.99,159.96,2025-02-28 15:00:00,France
INV-1184,CUST-0054,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-02-28 15:00:00,France
INV-1184,CUST-0054,Ergonomic Mechanical Keyboard,4,89.5,358.0,2025-02-28 15:00:00,France
INV-1185,CUST-0003,Vertical Ergonomic Mouse,2,45.0,90.0,2025-01-23 10:00:00,Germany
INV-1185,CUST-0003,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-01-23 10:00:00,Germany
INV-1185,CUST-0003,Wireless Noise-Cancelling Headphones,5,149.99,749.95,2025-01-23 10:00:00,Germany
INV-1186,CUST-0019,Vertical Ergonomic Mouse,4,45.0,180.0,2025-03-27 12:00:00,United Kingdom
INV-1187,CUST-0077,Smart LED Desk Lamp,3,29.95,89.85,2025-11-23 08:00:00,Japan
INV-1187,CUST-0077,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-11-23 08:00:00,Japan
INV-1187,CUST-0077,USB-C Multiport Hub,5,39.99,199.95,2025-11-23 08:00:00,Japan
INV-1188,CUST-0061,Vertical Ergonomic Mouse,2,45.0,90.0,2025-03-29 11:00:00,United States
INV-1188,CUST-0061,Vertical Ergonomic Mouse,2,45.0,90.0,2025-03-29 11:00:00,United States
INV-1189,CUST-0080,Smart LED Desk Lamp,3,29.95,89.85,2025-09-19 12:00:00,Australia
INV-1190,CUST-0059,USB-C Multiport Hub,4,39.99,159.96,2025-10-30 09:00:00,Japan
INV-1191,CUST-0017,Vertical Ergonomic Mouse,4,45.0,180.0,2025-01-09 11:00:00,United Kingdom
INV-1191,CUST-0017,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-01-09 11:00:00,United Kingdom
INV-1191,CUST-0017,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-01-09 11:00:00,United Kingdom
INV-1192,CUST-0061,Vertical Ergonomic Mouse,1,45.0,45.0,2025-11-04 08:00:00,Japan
INV-1192,CUST-0061,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-11-04 08:00:00,Japan
INV-1192,CUST-0061,Smart LED Desk Lamp,2,29.95,59.9,2025-11-04 08:00:00,Japan
INV-1193,CUST-0078,Smart LED Desk Lamp,4,29.95,119.8,2025-01-01 20:00:00,Japan
INV-1193,CUST-0078,Vertical Ergonomic Mouse,4,45.0,180.0,2025-01-01 20:00:00,Japan
INV-1193,CUST-0078,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-01-01 20:00:00,Japan
INV-1194,CUST-0068,USB-C Multiport Hub,3,39.99,119.97,2025-04-28 20:00:00,United States
INV-1194,CUST-0068,Vertical Ergonomic Mouse,5,45.0,225.0,2025-04-28 20:00:00,United States
INV-1195,CUST-0013,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-03-10 12:00:00,United States
INV-1195,CUST-0013,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-03-10 12:00:00,United States
INV-1196,CUST-0070,Smart LED Desk Lamp,1,29.95,29.95,2025-05-12 11:00:00,United States
INV-1197,CUST-0074,USB-C Multiport Hub,2,39.99,79.98,2025-03-02 16:00:00,Japan
INV-1198,CUST-0041,USB-C Multiport Hub,5,39.99,199.95,2025-07-05 09:00:00,United States
INV-1199,CUST-0033,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-10-02 14:00:00,France
INV-1199,CUST-0033,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-10-02 14:00:00,France
INV-1199,CUST-0033,Ergonomic Mechanical Keyboard,4,89.5,358.0,2025-10-02 14:00:00,France
INV-1200,CUST-0071,Vertical Ergonomic Mouse,5,45.0,225.0,2025-09-05 10:00:00,Japan
INV-1200,CUST-0071,USB-C Multiport Hub,3,39.99,119.97,2025-09-05 10:00:00,Japan
INV-1201,CUST-0040,USB-C Multiport Hub,2,39.99,79.98,2025-06-26 20:00:00,Japan
INV-1201,CUST-0040,Smart LED Desk Lamp,1,29.95,29.95,2025-06-26 20:00:00,Japan
INV-1201,CUST-0040,Smart LED Desk Lamp,2,29.95,59.9,2025-06-26 20:00:00,Japan
INV-1202,CUST-0058,Vertical Ergonomic Mouse,4,45.0,180.0,2025-03-24 09:00:00,Australia
INV-1203,CUST-0044,Smart LED Desk Lamp,1,29.95,29.95,2025-11-11 19:00:00,Japan
INV-1203,CUST-0044,Ergonomic Mechanical Keyboard,4,89.5,358.0,2025-11-11 19:00:00,Japan
INV-1203,CUST-0044,Smart LED Desk Lamp,1,29.95,29.95,2025-11-11 19:00:00,Japan
INV-1204,CUST-0012,Wireless Noise-Cancelling Headphones,1,149.99,149.99,2025-08-30 17:00:00,Germany
INV-1204,CUST-0012,Ultra HD 27-inch Monitor,2,299.0,598.0,2025-08-30 17:00:00,Germany
INV-1205,CUST-0048,USB-C Multiport Hub,4,39.99,159.96,2025-11-08 08:00:00,United Kingdom
INV-1205,CUST-0048,Vertical Ergonomic Mouse,5,45.0,225.0,2025-11-08 08:00:00,United Kingdom
INV-1205,CUST-0048,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-11-08 08:00:00,United Kingdom
INV-1206,CUST-0008,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-11-24 15:00:00,Germany
INV-1206,CUST-0008,Smart LED Desk Lamp,5,29.95,149.75,2025-11-24 15:00:00,Germany
INV-1207,CUST-0037,Vertical Ergonomic Mouse,5,45.0,225.0,2025-01-18 20:00:00,Germany
INV-1207,CUST-0037,Smart LED Desk Lamp,2,29.95,59.9,2025-01-18 20:00:00,Germany
INV-1207,CUST-0037,Vertical Ergonomic Mouse,2,45.0,90.0,2025-01-18 20:00:00,Germany
INV-1208,CUST-0005,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-05-03 18:00:00,France
INV-1209,CUST-0036,USB-C Multiport Hub,5,39.99,199.95,2025-06-30 18:00:00,United States
INV-1209,CUST-0036,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-06-30 18:00:00,United States
INV-1210,CUST-0002,Vertical Ergonomic Mouse,3,45.0,135.0,2025-12-27 09:00:00,Australia
INV-1211,CUST-0072,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-06-28 13:00:00,Japan
INV-1211,CUST-0072,Ergonomic Mechanical Keyboard,4,89.5,358.0,2025-06-28 13:00:00,Japan
INV-1212,CUST-0052,USB-C Multiport Hub,5,39.99,199.95,2025-01-03 12:00:00,Japan
INV-1213,CUST-0014,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-02-07 16:00:00,Japan
INV-1213,CUST-0014,Vertical Ergonomic Mouse,3,45.0,135.0,2025-02-07 16:00:00,Japan
INV-1214,CUST-0069,USB-C Multiport Hub,5,39.99,199.95,2025-05-09 19:00:00,Japan
INV-1214,CUST-0069,USB-C Multiport Hub,2,39.99,79.98,2025-05-09 19:00:00,Japan
INV-1215,CUST-0044,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-12-15 15:00:00,United States
INV-1215,CUST-0044,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-12-15 15:00:00,United States
INV-1215,CUST-0044,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-12-15 15:00:00,United States
INV-1216,CUST-0029,USB-C Multiport Hub,3,39.99,119.97,2025-12-26 11:00:00,Australia
INV-1216,CUST-0029,Vertical Ergonomic Mouse,5,45.0,225.0,2025-12-26 11:00:00,Australia
INV-1217,CUST-0002,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-05-15 11:00:00,Australia
INV-1217,CUST-0002,Smart LED Desk Lamp,3,29.95,89.85,2025-05-15 11:00:00,Australia
INV-1218,CUST-0010,Ultra HD 27-inch Monitor,2,299.0,598.0,2025-04-02 15:00:00,Japan
INV-1218,CUST-0010,Vertical Ergonomic Mouse,3,45.0,135.0,2025-04-02 15:00:00,Japan
INV-1219,CUST-0024,Smart LED Desk Lamp,2,29.95,59.9,2025-12-16 11:00:00,Australia
INV-1219,CUST-0024,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-12-16 11:00:00,Australia
INV-1220,CUST-0034,Vertical Ergonomic Mouse,3,45.0,135.0,2025-04-28 11:00:00,Germany
INV-1221,CUST-0020,Smart LED Desk Lamp,4,29.95,119.8,2025-03-03 09:00:00,United Kingdom
INV-1221,CUST-0020,Vertical Ergonomic Mouse,1,45.0,45.0,2025-03-03 09:00:00,United Kingdom
INV-1221,CUST-0020,Vertical Ergonomic Mouse,1,45.0,45.0,2025-03-03 09:00:00,United Kingdom
INV-1222,CUST-0062,Vertical Ergonomic Mouse,3,45.0,135.0,2025-11-14 13:00:00,France
INV-1222,CUST-0062,USB-C Multiport Hub,2,39.99,79.98,2025-11-14 13:00:00,France
INV-1223,CUST-0066,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-07-23 11:00:00,France
INV-1223,CUST-0066,Vertical Ergonomic Mouse,4,45.0,180.0,2025-07-23 11:00:00,France
INV-1223,CUST-0066,USB-C Multiport Hub,5,39.99,199.95,2025-07-23 11:00:00,France
INV-1224,CUST-0005,Ergonomic Mechanical Keyboard,4,89.5,358.0,2025-06-27 14:00:00,Japan
INV-1224,CUST-0005,Wireless Noise-Cancelling Headphones,5,149.99,749.95,2025-06-27 14:00:00,Japan
INV-1224,CUST-0005,USB-C Multiport Hub,3,39.99,119.97,2025-06-27 14:00:00,Japan
INV-1225,CUST-0002,Vertical Ergonomic Mouse,1,45.0,45.0,2025-12-12 11:00:00,United Kingdom
INV-1225,CUST-0002,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-12-12 11:00:00,United Kingdom
INV-1226,CUST-0079,Ergonomic Mechanical Keyboard,3,89.5,268.5,2025-04-06 16:00:00,France
INV-1226,CUST-0079,USB-C Multiport Hub,5,39.99,199.95,2025-04-06 16:00:00,France
INV-1227,CUST-0044,Ergonomic Mechanical Keyboard,4,89.5,358.0,2025-04-05 15:00:00,France
INV-1227,CUST-0044,Smart LED Desk Lamp,3,29.95,89.85,2025-04-05 15:00:00,France
INV-1228,CUST-0047,Vertical Ergonomic Mouse,2,45.0,90.0,2025-05-24 15:00:00,United States
INV-1229,CUST-0074,Ultra HD 27-inch Monitor,2,299.0,598.0,2025-04-28 09:00:00,Australia
INV-1229,CUST-0074,Vertical Ergonomic Mouse,4,45.0,180.0,2025-04-28 09:00:00,Australia
INV-1229,CUST-0074,USB-C Multiport Hub,2,39.99,79.98,2025-04-28 09:00:00,Australia
INV-1230,CUST-0019,Ergonomic Mechanical Keyboard,4,89.5,358.0,2025-03-18 15:00:00,Australia
INV-1231,CUST-0064,Smart LED Desk Lamp,3,29.95,89.85,2025-11-19 16:00:00,Germany
INV-1231,CUST-0064,USB-C Multiport Hub,3,39.99,119.97,2025-11-19 16:00:00,Germany
INV-1231,CUST-0064,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-11-19 16:00:00,Germany
INV-1232,CUST-0073,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-07-23 09:00:00,United Kingdom
INV-1232,CUST-0073,Ergonomic Mechanical Keyboard,3,89.5,268.5,2025-07-23 09:00:00,United Kingdom
INV-1232,CUST-0073,USB-C Multiport Hub,1,39.99,39.99,2025-07-23 09:00:00,United Kingdom
INV-1233,CUST-0058,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-06-21 12:00:00,Australia
INV-1233,CUST-0058,Vertical Ergonomic Mouse,3,45.0,135.0,2025-06-21 12:00:00,Australia
INV-1234,CUST-0045,Smart LED Desk Lamp,5,29.95,149.75,2025-07-30 09:00:00,United Kingdom
INV-1234,CUST-0045,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-07-30 09:00:00,United Kingdom
INV-1235,CUST-0074,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-11-29 16:00:00,Australia
INV-1236,CUST-0042,USB-C Multiport Hub,1,39.99,39.99,2025-09-19 15:00:00,Australia
INV-1236,CUST-0042,USB-C Multiport Hub,5,39.99,199.95,2025-09-19 15:00:00,Australia
INV-1236,CUST-0042,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-09-19 15:00:00,Australia
INV-1237,CUST-0019,USB-C Multiport Hub,5,39.99,199.95,2025-11-24 20:00:00,Germany
INV-1237,CUST-0019,Vertical Ergonomic Mouse,4,45.0,180.0,2025-11-24 20:00:00,Germany
INV-1238,CUST-0010,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-03-24 13:00:00,United Kingdom
INV-1239,CUST-0038,USB-C Multiport Hub,3,39.99,119.97,2025-05-17 17:00:00,Australia
INV-1239,CUST-0038,USB-C Multiport Hub,3,39.99,119.97,2025-05-17 17:00:00,Australia
INV-1239,CUST-0038,Smart LED Desk Lamp,5,29.95,149.75,2025-05-17 17:00:00,Australia
INV-1240,CUST-0067,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-07-31 10:00:00,United States
INV-1241,CUST-0031,Smart LED Desk Lamp,1,29.95,29.95,2025-05-09 19:00:00,Australia
INV-1241,CUST-0031,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-05-09 19:00:00,Australia
INV-1241,CUST-0031,USB-C Multiport Hub,1,39.99,39.99,2025-05-09 19:00:00,Australia
INV-1242,CUST-0013,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-08-31 16:00:00,United Kingdom
INV-1243,CUST-0068,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-02-23 12:00:00,United Kingdom
